Meal Name,Food Code,Carbohydrate,Total Dietary Fiber,Total Sugar,Protein,Fat,Energy (Kcal),Sodium,Cholesterol,Calcium,Phosphorus,Iron,Potassium,Sodium,Zinc,Retinol,beta-carotene,Thiamin,Riboflavin,Niacin,Vitamin C,Glycemic Index,Diversity Score ,Phytochemical Index
Adobo (Pork & Chicken),R047,0,0.2,0,14.5,14.6,189,201,-,110,106,1.1,,201,,20,-,0.04,0.27,2,0,,1,2
Adobong Kangkong,,3,,,1,,16,,,,,,,,,,,,,,,,2,100
Afritada,R052,6.3,1.3,2.1,6.3,8.1,123,248,-,53,30,1,,248,,80,0,0.03,0.02,0.4,0,,3,13
Arroz Caldo ,,23,,,10,1,141,,,,,,,,,,,,,,,,2,0
"Banana, Latundan",E012,24.4,2.8,13,1.2,0.3,105,3,0,17,34,0.7,,3,,,30,0.02,0.06,0.6,21,62,1,100
Banana Cue,E102,37.8,1.6,28.8,2,2.6,183,6,0,191,27,1.6,,6,,,405,0.02,0.03,0.5,0,,1,49
Barbeque,F267,13.5,0,-,21.5,29.8,408,340,83,12,750,1.1,287,340,1.8,5,1,1.46,0.51,16.1,0,,1,0
Beef Steak,R034,7.1,0.6,0.8,9.6,11.8,161,331,-,32,78,0.4,-,331,-,115,10,0.02,0.08,0.08,2.6,,1,0
Bicol Express,,,,,16,35,379,,,,,,,,,,,,,,,,1,0
Bulalo,"1lf, 1veg",26,,,3,0,116,,,,,,,,,,,,,,,,3,
Bulanglang,,6,,,2,,32,,,,,,,,,,,,,,,,1,100
Cheeseburger,R003,30,1.7,4.2,11.2,9.5,250,340,28,84,130,17.3,,441,,105,85,0.12,0.16,2.7,0,,3,0
Burger Steak ,"2lf, 1f",46,,,4,5,245,,,,,,,,,,,,,,,,1,0
Calamares,2341749,14.1,0.5,0.2,13.8,13.2,234,377,183,39,191,1.41,211,377,1.31,10,0,0.158,0.371,2.6,2.9,,2,0
Caldereta,R027,1.6,1.1,-,13.3,24.9,284,315,-,71,117,8,,315,,220,-,0.02,0.16,1.5,0,,3,3
Canned Tuna,G227,1.7,0,0,16.4,26.7,309,503,38,16,105,0.7,,503,,0,0.01,0.1,0.1,9.4,0,,1,0
Carbonara,169737,30.9,1.8,0.56,5.8,0.93,158,1,0,7,58,1.28,44,1,0.51,0,0,0.274,0.136,1.69,0,,,
,2435858,3.2,0.4,2.4,7.2,27.2,288,224,64,156,,0,80,224,,,,,,,,,2,0
Champorado,R012,22,0.7,4.8,1.7,0.2,97,13,2,27,34,0,,13,,15,5,0.02,0.07,0.2,0,,1,0
Chicken Curry,2341861,6.47,1.4,2.6,6.47,6.45,106,376,22,20,78,0.73,280,376,0.53,2,469,0.048,0.078,2.12,8.6,,1,0
Chicken Inasal,2341399,13.5,0.37,11,36.3,14.4,339,1080,194,25.9,327,1.89,464,1080,3.26,11.1,44.4,0.15,0.34,8.95,0.185,,1,0
Chicken Nuggets,2341500,14.9,0.9,0.08,15.9,20.4,307,594,55,11,272,0.83,251,594,0.59,5,0,0.092,0.204,5.98,0.6,,2,0
Chicken Tinola,"1lf, 1veg, 1f",3,,,9,6,102,,,,,,,,,,,,,,,,3,unknown
Chopsuey,R099,8.5,2.9,4,2.7,2.8,70,354,6,21,27,0.5,,354,,57,382,0.04,0.08,0.4,11,,2,100
"Coffee, Instant, 100% Pure",Q012,60.3,0,0,21.6,0.1,329,37,0,118,319,1.9,,37,,0,0,0,0.12,50.4,0,,0,0
Coffee with Creamer and Sugar (3-in-1),Q011,92.5,0,46.5,3.6,0.8,392,65,0,24,76,0,,65,,0,0,0,0.25,6.8,0,,0,0
Cordon Bleu,2341865,9.29,0.6,0.63,22.6,9.17,210,604,85,97,244,1.13,255,604,1.23,46,75,0.182,0.193,7.12,1.8,,3,0
Corned Beef ,F226,0,0,,17.9,10.9,168,567,68,5,105,1.9,89,567,4.1,7,21,0.01,0.12,1.5,0,,1,0
Crispy Pata,"2hf, 2f",0,,,16,30,334,,,,,,,,,,,,,,,,1,0
Fried Bangus,G076,0,0,0,23.6,10.4,188,106,-,116,186,1,,106,,85,0,0.05,0.11,8.8,0,,1,0
Dinengdeng,"1veg, 1lfm",3,,,9,1,57,,,,,,,,,,,,,,,,1,0
Dinuguan,R053,0,0.2,0,14.8,10.6,155,-,-,53,68,12.7,,-,,-,-,0.01,0.07,0.6,0,,1,0
Glazed Donut,2097159,44.9,2,20.4,6.12,22.4,388,173,0,82,,1.47,,173,,,,,,,,,1,0
Fish Fillet,169846,16.9,0.9,0.45,13.5,10.8,219,561,36,14,207,0.38,251,561,0.39,2,3,0.06,0.096,2.48,0,,2,0
Fishball,G162,33.3,0,0.8,10.3,10.2,266,1723,42,49,102,0.6,,1723,,5,0,0.03,0.06,1.4,0,,2,0
French Fries,B034,40.5,3.9,0.2,3.7,16.8,328,187,1,15,128,0,,187,,0,0,0.15,0.06,2.3,0,75,1,0
Fried Chicken,F112,0,0.1,0,40.3,7.2,226,104,74,86,213,2.9,,104,,10,0,0.02,0.05,8.4,0,,1,0
Fried Porkchop,,,,,8,15,167,,,,,,,,,,,,,,,,1,0
Fried Tilapia,,,,,8,6,86,,,,,,,,,,,,,,,,1,0
Champorado,R012,22,0.7,4.8,1.7,0.2,97,13,2,27,34,0,-,13,-,15,5,0.02,0.07,0.2,0,,2,unknown
Ginataang Kalabasa with Sitaw,,6,,,2,15,167,,,,,,,,,,,,,,,,2,unknown
Ginataang Langka,,6,,,2,15,167,,,,,,,,,,,,,,,,1,unknown
Ginisang Ampalaya,,3,,,9,6,102,,,,,,,,,,,,,,,,1,unknown
Ginisang Pechay,,3,,,1,5,61,,,,,,,,,,,,,,,,1,unknown
Ginisang Sayote,,3,,,1,6,56,,,,,,,,,,,,,,,,1,unknown
Ginisang Togue with Tokwa,"1veg, 2mfm, 2f",3,,,9,16,192,,,,,,,,,,,,,,,,1,unknown
Gising-Gising,,6,,,2,15,167,,,,,,,,,,,,,,,,2,unknown
Halo-Halo,R019,18.7,-,-,1,0.3,82,-,-,26,23,0,-,-,-,25,5,0.02,0.05,0.1,0,,3,unknown
Hotdog,,10,,,8,6,162,,,,,,,,,,,,,,,,1,0
Iced Tea,2346103,6.2,0,5.32,0,0.22,27,21,0,1,31,0,12,21,0.01,0,0,0,0,0,0,,1,0
Inihaw na Bangus,G075,0,0,0,23.4,4.8,137,82,37,109,169,1.2,,82,,111,0,0.02,0.08,8.6,0,,1,0
Inihaw na Liempo,F148,0,0,0,14,17.4,213,56,72,56,158,1.8,,56,,45,0,0.17,0.17,3.5,0,72,1,0
Kansi,"1veg, 1mfm, 2f",3,,,9,16,129,,,,,,,,,,,,,,,,2,unknown
Kare-Kare,R031,4.4,1.5,1.7,9,1.1,64,109,-,76,45,2.2,-,109,-,485,-,0.01,0.7,1.2,-,,2,25
Laing,,3,,,9,16,192,,,,,,,,,,,,,,,,1,unknown
Latte,2345946,4.35,0,4.06,2.81,1.61,43,35,7,105,87,0.02,152,35,0.37,69,2,0.044,0.144,0.973,0.2,,1,0
Lechon Kawali,"2HF, 2F",,,,16,30,334,,,,,,,,,,,,,,,,1,0
Longganisa,,12.5,,,9,15,213,,,,,,,,,,,,,,,,1,0
Lumpiang Sariwa,R107,23.6,2.3,17,3.8,4.2,147,594,69,20,51,1.1,,594,,9,184,0.07,0.11,0.6,2,,3,75
Lumpiang Shanghai,R103,26,2.1,0.4,10.3,15.5,285,343,91,36,90,4,,343,,161,421,0.13,0.13,1.7,1,,2,15
Lumpiang Togue,,6.5,,,1.6,,31,,,,,,,,,,,,,,,,2,unknown
Mechado,"1veg, 1lf",3,,,9,1,57,,,,,,,,,,,,,,,,2,unknown
Menudo,"1veg, 1lg",3,,,9,1,57,,,,,,,,,,,,,,,,2,unknown
Misua with Patola and Meatballs,,26,,,9,,149,,,,,,,,,,,,,,,,3,unknown
Monggo,"1veg, 1f",3,,,1,5,61,,,,,,,,,,,,,,,,3,unknown
Nilagang Baka,"1veg, 1lfm",3,,,9,1,57,,,,,,,,,,,,,,,,3,unknown
Pakbet,"1veg, 1lfm",3,,,9,1,57,,,,,,,,,,,,,,,,2,80
Palabok,,23,,,8,6,178,,,,,,,,,,,,,,,,2,0
Pan de Sal,A042,62.9,2.5,7.6,10.1,4.2,330,596,4,24,75,3,,596,,0,0,0.23,0.15,3,0,68,1,0
Pansit Bihon,,29,,,10,11,255,,,,,,,,,,,,,,,,3,unknown
Pesang Isda,,,,,9,6,102,,,,,,,,,,,,,,,,1,0
Pritong Talong,,3,,,1,5,56,,,,,,,,,,,,,,,,1,unknown
"Puto puti, with niyog",A178,47.1,2.1,17.8,2.7,1.1,209,205,11,88,61,2.2,,205,,17,15,0.01,0.02,0.2,0,,1,0
Red Apple,E002,15.8,2.6,12,0.7,0.1,67,2,0,9,8,,,2,,0,25,0.02,0.01,0.1,0,36,1,100
Rellenong Bangus,,,,,8,11,106,,,,,,,,,,,,,,,,2,25
"Ripe Mango, Kalabaw",E050,15.2,1.6,9.4,0.4,0.4,66,14,0,10,10,0.6,,14,,0,130,0.06,0.02,0.3,49,,1,100
Scrambled Egg,,1,,,8.25,11,110,,,,,,,,,,,,,,,,1,0
Sinangag,A021,35.2,0.5,0.1,2.6,4,187,4,0,3,35,1.1,,4,,0,0,0.02,0.04,0.4,0,,1,0
Pork Sinigang,"1hf, 1veg, 2f",3,,,9,20,228,,,,,,,,,,,,,,,,2,50
Siomai,R108,26.74,0.6,1.2,10.5,16.7,298,291,48,10,228,1.4,139,291,1.2,12,0,0.39,0.29,4.8,1,,1,0
Sisig,2089913,2.35,0,1.18,9.41,5.88,106,412,47,24,,0.85,-,412,-,-,-,-,-,-,5.6,,1,0
Sopas (Chicken Noodle Soup),2344639,4.93,0.4,0.93,5.56,2.22,61,369,23,12,56,0.45,102,369,0.44,2,314,0.079,0.102,1.8,1.7,,3,0
Spaghetti,2341894,6.54,1.5,4.47,5.94,4.36,90,412,18,26,64,1.1,316,412,1.33,1,317,0.028,0.082,4.13,1.6,,3,0
Squid Ball,,,,,8,6,86,,,,,,,,,,,,,,,,2,0
Suam na Mais,"1/2ricec, 1lfm, 1veg",14.5,,,11,1,111,,,,,,,,,,,,,,,,3,15
